Simulator,Dimensions,Box width,Mechanics Time,Total Time,Population Size,Proportion Mechanics,Maximum Theoretical Speedup,Actual Speedup,% Maximum Speedup Achieved,Mechanics Speedup
cpu,2D,10,5,54,100,0.09259259259,,,,
gpu,2D,10,1228,1277,100,0.9616288175,1.102040816,0.04228660924,3.837118246,0.004071661238
cpu,2D,20,54,133,400,0.4060150376,,,,
gpu,2D,20,3,84,400,0.03571428571,1.683544304,1.583333333,94.04761905,18
cpu,2D,30,116,216,900,0.537037037,,,,
gpu,2D,30,3,126,900,0.02380952381,2.16,1.714285714,79.36507937,38.66666667
cpu,2D,40,231,380,1600,0.6078947368,,,,
gpu,2D,40,4,201,1600,0.01990049751,2.55033557,1.890547264,74.12935323,57.75
cpu,2D,50,428,646,2500,0.6625386997,,,,
gpu,2D,50,18,293,2500,0.0614334471,2.963302752,2.204778157,74.40273038,23.77777778
cpu,2D,100,2240,3235,10000,0.6924265842,,,,
gpu,2D,100,96,1334,10000,0.07196401799,3.251256281,2.425037481,74.58770615,23.33333333
cpu,2D,200,10895,15834,40000,0.6880762915,,,,
gpu,2D,200,415,6452,40000,0.06432114073,3.205912128,2.454122753,76.54990701,26.25301205
cpu,2D,300,27378,40098,90000,0.6827771959,,,,
gpu,2D,300,1101,16449,90000,0.06693416013,3.152358491,2.437716579,77.32992887,24.86648501
cpu,2D,400,48407,73436,160000,0.6591726129,,,,
gpu,2D,400,2045,30994,160000,0.06598051236,2.934036518,2.369361812,80.75433955,23.67090465
cpu,2D,500,80592,125180,250000,0.6438089152,,,,
gpu,2D,500,3381,52555,250000,0.06433260394,2.807481834,2.381885644,84.84064314,23.83673469
cpu,2D,750,195065,310071,562500,0.6290978518,,,,
gpu,2D,750,9614,139410,562500,0.06896205437,2.696128898,2.224166129,82.49479951,20.28968171
cpu,2D,1000,338824,577281,1000000,0.5869308015,,,,
gpu,2D,1000,34923,302014,1000000,0.1156337123,2.420901882,1.91143788,78.95561133,9.702030181
cpu,3D,3,0,50,27,0,,,,
gpu,3D,3,1413,1468,27,0.9625340599,1,0.0340599455,3.40599455,0
cpu,3D,5,43,122,125,0.3524590164,,,,
gpu,3D,5,44,122,125,0.3606557377,1.544303797,1,64.75409836,0.9772727273
cpu,3D,10,656,996,1000,0.6586345382,,,,
gpu,3D,10,54,415,1000,0.1301204819,2.929411765,2.4,81.92771084,12.14814815
cpu,3D,20,8175,11927,8000,0.6854196361,,,,
gpu,3D,20,199,4232,8000,0.04702268431,3.178837953,2.818289225,88.65784499,41.08040201
cpu,3D,30,32115,46384,27000,0.6923723698,,,,
gpu,3D,30,600,15742,27000,0.03811459789,3.250683299,2.946512514,90.64286622,53.525
cpu,3D,40,88443,125116,64000,0.7068880079,,,,
gpu,3D,40,1516,41134,64000,0.03685515632,3.411665258,3.041668693,89.15495697,58.33970976
cpu,3D,50,298604,392424,125000,0.76092186,,,,
gpu,3D,50,5413,102303,125000,0.05291144932,4.182732893,3.83589924,91.70796555,55.16423425
cpu,3D,75,925340,1260260,421875,0.7342453145,,,,
gpu,3D,75,11863,361423,421875,0.03282303561,3.762868745,3.486939127,92.66704111,78.00219169
cpu,3D,100,2693560,3553420,1000000,0.7580190352,,,,
gpu,3D,100,28775,953660,1000000,0.03017322736,4.132556463,3.726086865,90.16420947,93.60764553